id_transaksi,id_pelanggan,id_produk,tanggal_transaksi,jumlah,total_pembayaran,metode_pembayaran
T001,1008,Paket Roaming Eropa,2024-05-03,5,750000,Kartu Kredit
T002,1002,Voucher Isi Ulang Pulsa,2024-02-06,4,757944,Tunai
T003,1004,Paket Internet Malam,2023-12-20,5,125000,Tunai
T004,1003,Paket Internet Korporat,2023-06-24,4,4000000,Dompet Digital
T005,1005,Paket Data Unlimited,2023-10-14,3,600000,Transfer Bank
T006,1002,Paket Nelpon 500 Menit,2023-12-04,3,120000,Kartu Kredit
T007,1009,Paket Nelpon 100 Menit,2023-08-27,5,100000,Kartu Kredit
T008,1009,Paket Roaming Eropa,2023-07-08,1,150000,Tunai
T009,1005,Paket Internet Unlimited + TV Kabel,2023-07-12,2,600000,Kartu Kredit
T010,1009,Paket Data Keluarga (4 Nomor),2023-10-08,4,600000,Kartu Kredit
T011,1009,Paket SMS Unlimited,2023-05-26,1,15000,Kartu Kredit
T012,1009,Paket Roaming Asia,2023-09-04,4,400000,Tunai
T013,1008,Paket Nelpon 300 Menit,2023-07-27,5,150000,Tunai
T014,1002,Paket Data 10GB,2024-04-28,1,100000,Kartu Kredit
T015,1009,Smartphone Murah,2024-01-05,2,2000000,Dompet Digital
T016,1003,Paket Data 10GB,2023-11-12,1,100000,Tunai
T017,1002,Modem MiFi 4G,2023-12-02,3,1500000,Transfer Bank
T018,1001,Paket Streaming Video,2023-09-29,4,300000,Kartu Kredit
T019,1009,Kartu Perdana Loop,2024-05-07,1,20000,Tunai
T020,1008,Paket Internet Korporat,2023-10-05,2,2000000,Tunai
T021,1006,Kartu Perdana SimPATI,2023-12-30,4,40000,Kartu Kredit
T022,1001,Paket Nelpon 100 Menit,2024-02-11,1,20000,Kartu Kredit
T023,1004,Kartu Perdana AS,2023-07-01,4,60000,Kartu Kredit
T024,1002,Paket Data 5GB,2023-09-11,2,100000,Tunai
T025,1001,Kartu Perdana AS,2023-09-12,3,45000,Tunai
T026,1007,Kartu Perdana SimPATI,2023-09-02,4,40000,Transfer Bank
T027,1009,Paket Data 5GB,2023-10-29,2,100000,Kartu Kredit
T028,1008,Paket Internet Malam,2023-12-08,5,125000,Dompet Digital
T029,1008,Paket Nelpon 100 Menit,2023-10-05,3,60000,Kartu Kredit
T030,1009,Paket Internet Korporat,2023-10-05,1,1000000,Tunai
T031,1009,Paket Nelpon 300 Menit,2023-11-12,3,90000,Dompet Digital
T032,1002,Kartu Perdana Loop,2023-11-23,4,80000,Tunai
T033,1009,Paket Data 10GB,2023-10-27,2,200000,Transfer Bank
T034,1002,Paket Internet Unlimited + TV Kabel,2023-10-05,1,300000,Dompet Digital
T035,1005,Paket Data Unlimited,2024-03-27,4,800000,Tunai
T036,1001,Paket SMS Unlimited,2024-01-15,1,15000,Kartu Kredit
T037,1002,Kartu Perdana AS,2023-09-04,1,15000,Transfer Bank
T038,1009,Paket Data 10GB,2023-08-13,4,400000,Dompet Digital
T039,1005,Modem Wifi Portable,2023-07-21,5,1500000,Tunai
T040,1006,Paket Data 10GB,2023-09-26,2,200000,Dompet Digital
T041,1002,Kartu Perdana Loop,2023-10-22,2,40000,Transfer Bank
T042,1009,Modem Wifi Portable,2023-10-13,1,300000,Tunai
T043,1005,Paket Data 5GB,2023-11-20,4,200000,Transfer Bank
T044,1004,Paket Nelpon 100 Menit,2023-12-21,2,40000,Tunai
T045,1005,Paket Roaming Eropa,2024-02-14,1,150000,Tunai
T046,1001,Paket Roaming Asia,2024-02-20,5,500000,Tunai
T047,1003,Paket SMS Unlimited,2023-10-09,5,75000,Dompet Digital
T048,1005,Modem MiFi 4G,2023-11-18,3,1500000,Kartu Kredit
T049,1004,Paket Data Keluarga (4 Nomor),2023-09-01,3,450000,Dompet Digital
T050,1006,Modem MiFi 4G,2023-07-13,2,1000000,Dompet Digital
T051,1006,Paket Bundling Smartphone + Paket Data,2024-01-31,2,3000000,Dompet Digital
T052,1003,Voucher Isi Ulang Pulsa,2024-03-04,5,947430,Tunai
T053,1003,Paket Data 10GB,2023-10-10,2,200000,Tunai
T054,1006,Paket Internet Unlimited + TV Kabel,2023-08-20,4,1200000,Transfer Bank
T055,1002,Kartu Perdana SimPATI,2024-04-04,3,30000,Tunai
T056,1001,Smartphone Murah,2024-04-20,2,2000000,Kartu Kredit
T057,1003,Paket SMS Unlimited,2024-04-28,2,30000,Kartu Kredit
T058,1003,Paket Data 5GB,2024-02-03,3,150000,Dompet Digital
T059,1008,Modem Wifi Portable,2024-02-07,2,600000,Transfer Bank
T060,1006,Paket Bundling Smartphone + Paket Data,2023-12-04,5,7500000,Tunai
T061,1004,Modem MiFi 4G,2023-12-30,5,2500000,Tunai
T062,1002,Paket Nelpon 300 Menit,2023-05-27,5,150000,Tunai
T063,1006,Paket Nelpon 500 Menit,2023-09-26,2,80000,Kartu Kredit
T064,1009,Paket Data Keluarga (4 Nomor),2024-01-26,1,150000,Tunai
T065,1009,Paket SMS Unlimited,2023-09-07,2,30000,Dompet Digital
T066,1002,Paket Nelpon 300 Menit,2023-06-18,3,90000,Dompet Digital
T067,1005,Paket Data 2GB,2023-09-03,4,100000,Dompet Digital
T068,1007,Paket Data 5GB,2023-11-22,4,200000,Dompet Digital
T069,1004,Paket Data Unlimited,2023-06-18,1,200000,Dompet Digital
T070,1009,Paket Data 2GB,2023-05-27,5,125000,Dompet Digital
T071,1007,Paket Data 5GB,2023-09-14,4,200000,Kartu Kredit
T072,1007,Kartu Perdana AS,2023-11-25,5,75000,Kartu Kredit
T073,1007,Paket Data 2GB,2023-12-28,4,100000,Transfer Bank
T074,1001,Paket Data Keluarga (4 Nomor),2023-07-10,3,450000,Transfer Bank
T075,1008,Paket Data Keluarga (4 Nomor),2023-05-25,5,750000,Transfer Bank
T076,1008,Kartu Perdana SimPATI,2023-06-28,4,40000,Transfer Bank
T077,1001,Paket Data 10GB,2023-07-23,5,500000,Kartu Kredit
T078,1003,Paket Roaming Eropa,2023-09-18,2,300000,Kartu Kredit
T079,1008,Kartu Perdana SimPATI,2023-09-18,3,30000,Kartu Kredit
T080,1004,Paket Internet Unlimited + TV Kabel,2023-09-19,2,600000,Dompet Digital
T081,1002,Paket Data 2GB,2024-04-01,2,50000,Transfer Bank
T082,1007,Kartu Perdana SimPATI,2023-07-10,1,10000,Kartu Kredit
T083,1008,Paket Nelpon 300 Menit,2024-01-21,1,30000,Dompet Digital
T084,1002,Kartu Perdana AS,2024-02-20,4,60000,Transfer Bank
T085,1004,Smartphone Flagship,2023-06-11,3,15000000,Kartu Kredit
T086,1003,Paket Data Unlimited,2023-07-18,5,1000000,Tunai
T087,1006,Kartu Perdana SimPATI,2024-01-06,2,20000,Dompet Digital
T088,1002,Paket Internet Korporat,2024-04-05,3,3000000,Dompet Digital
T089,1004,Paket Data Unlimited,2024-03-11,5,1000000,Dompet Digital
T090,1001,Paket Data Unlimited,2023-05-29,2,400000,Tunai
T091,1002,Kartu Perdana SimPATI,2023-09-04,4,40000,Kartu Kredit
T092,1001,Paket Nelpon 500 Menit,2024-04-04,2,80000,Kartu Kredit
T093,1008,Paket Internet Unlimited + TV Kabel,2024-03-03,1,300000,Tunai
T094,1006,Modem MiFi 4G,2024-04-06,4,2000000,Kartu Kredit
T095,1009,Paket Nelpon 500 Menit,2023-06-14,1,40000,Transfer Bank
T096,1009,Smartphone Flagship,2023-10-08,2,10000000,Tunai
T097,1006,Smartphone Flagship,2024-01-11,4,20000000,Dompet Digital
T098,1002,Paket Nelpon 300 Menit,2024-01-03,4,120000,Transfer Bank
T099,1009,Paket Internet Malam,2024-05-05,2,50000,Tunai
T100,1004,Paket SMS Unlimited,2024-02-27,5,75000,Dompet Digital
T101,1002,Kartu Perdana Loop,2023-07-25,4,80000,Tunai
T102,1007,Modem Wifi Portable,2023-10-01,3,900000,Kartu Kredit
T103,1004,Paket Data 5GB,2023-09-03,1,50000,Transfer Bank
T104,1004,Paket Streaming Video,2024-03-29,5,375000,Transfer Bank
T105,1002,Paket Data 10GB,2024-03-07,3,300000,Dompet Digital
T106,1007,Paket Data Keluarga (4 Nomor),2023-12-22,1,150000,Transfer Bank
T107,1004,Paket Nelpon 100 Menit,2023-08-02,4,80000,Tunai
T108,1006,Paket Roaming Asia,2024-02-25,4,400000,Tunai
T109,1003,Kartu Perdana SimPATI,2024-03-19,1,10000,Dompet Digital
T110,1007,Paket SMS Unlimited,2024-03-17,5,75000,Kartu Kredit
T111,1001,Kartu Perdana SimPATI,2023-08-14,3,30000,Dompet Digital
T112,1008,Paket Nelpon 300 Menit,2023-05-10,3,90000,Dompet Digital
T113,1006,Paket Nelpon 500 Menit,2023-09-13,1,40000,Tunai
T114,1008,Kartu Perdana SimPATI,2024-01-15,5,50000,Dompet Digital
T115,1006,Paket Nelpon 100 Menit,2023-06-10,3,60000,Transfer Bank
T116,1006,Paket SMS Unlimited,2024-01-20,1,15000,Tunai
T117,1003,Paket Bundling Smartphone + Paket Data,2023-07-29,3,4500000,Transfer Bank
T118,1002,Paket Internet Malam,2023-09-29,4,100000,Dompet Digital
T119,1005,Paket Nelpon 300 Menit,2023-05-13,1,30000,Dompet Digital
T120,1003,Voucher Isi Ulang Pulsa,2024-01-17,1,189486,Dompet Digital
T121,1006,Paket Roaming Eropa,2023-08-04,5,750000,Kartu Kredit
T122,1005,Smartphone Murah,2023-09-15,3,3000000,Kartu Kredit
T123,1007,Kartu Perdana Loop,2024-02-28,2,40000,Kartu Kredit
T124,1005,Paket Roaming Asia,2024-02-05,2,200000,Kartu Kredit
T125,1008,Paket Bundling Smartphone + Paket Data,2023-07-07,3,4500000,Dompet Digital
T126,1002,Paket Nelpon 500 Menit,2023-07-08,4,160000,Transfer Bank
T127,1005,Paket Streaming Video,2024-05-04,5,375000,Dompet Digital
T128,1008,Voucher Isi Ulang Pulsa,2023-06-03,4,757944,Tunai
T129,1008,Paket Data Keluarga (4 Nomor),2023-08-17,3,450000,Transfer Bank
T130,1009,Paket Data Unlimited,2023-11-24,1,200000,Tunai
T131,1006,Paket Internet Korporat,2023-08-27,3,3000000,Transfer Bank
T132,1006,Paket Data 5GB,2023-07-08,2,100000,Transfer Bank
T133,1009,Smartphone Murah,2023-09-07,2,2000000,Dompet Digital
T134,1008,Modem MiFi 4G,2023-12-08,3,1500000,Dompet Digital
T135,1006,Paket Bundling Smartphone + Paket Data,2023-11-07,2,3000000,Dompet Digital
T136,1008,Paket Internet Unlimited + TV Kabel,2023-12-18,1,300000,Transfer Bank
T137,1002,Paket Internet Unlimited + TV Kabel,2023-06-04,5,1500000,Tunai
T138,1001,Paket Nelpon 500 Menit,2023-10-03,5,200000,Tunai
T139,1001,Paket Internet Korporat,2023-11-13,3,3000000,Tunai
T140,1006,Paket Data Unlimited,2023-07-22,5,1000000,Dompet Digital
T141,1008,Paket Nelpon 300 Menit,2023-05-12,5,150000,Kartu Kredit
T142,1003,Paket Roaming Asia,2023-11-14,5,500000,Transfer Bank
T143,1009,Paket Kuota Video Streaming,2023-05-21,5,250000,Dompet Digital
T144,1007,Kartu Perdana Loop,2024-01-25,3,60000,Kartu Kredit
T145,1007,Paket Nelpon 300 Menit,2023-11-17,2,60000,Kartu Kredit
T146,1006,Paket Nelpon 100 Menit,2023-11-14,2,40000,Kartu Kredit
T147,1007,Paket Streaming Video,2024-03-27,1,75000,Tunai
T148,1003,Paket Data 5GB,2024-01-09,3,150000,Tunai
T149,1003,Modem Wifi Portable,2023-07-06,5,1500000,Tunai
T150,1006,Paket SMS Unlimited,2024-01-14,4,60000,Transfer Bank
T151,1001,Kartu Perdana SimPATI,2023-06-10,3,30000,Tunai
T152,1002,Paket Internet Korporat,2023-06-21,5,5000000,Tunai
T153,1003,Paket Data Unlimited,2023-07-05,2,400000,Kartu Kredit
T154,1005,Kartu Perdana AS,2023-09-13,2,30000,Tunai
T155,1007,Paket Kuota Video Streaming,2023-08-12,3,150000,Kartu Kredit
T156,1008,Smartphone Murah,2023-07-28,3,3000000,Tunai
T157,1003,Paket Data Keluarga (4 Nomor),2023-08-04,1,150000,Dompet Digital
T158,1007,Kartu Perdana AS,2023-07-13,2,30000,Transfer Bank
T159,1001,Paket Data 5GB,2023-06-10,5,250000,Transfer Bank
T160,1008,Voucher Isi Ulang Pulsa,2023-06-04,5,947430,Transfer Bank
T161,1005,Paket Data Keluarga (4 Nomor),2024-01-14,5,750000,Kartu Kredit
T162,1009,Paket Bundling Smartphone + Paket Data,2023-11-26,4,6000000,Transfer Bank
T163,1002,Paket Internet Unlimited + TV Kabel,2024-03-03,2,600000,Dompet Digital
T164,1008,Paket Data Unlimited,2023-10-20,3,600000,Transfer Bank
T165,1007,Voucher Isi Ulang Pulsa,2023-07-13,5,947430,Kartu Kredit
T166,1004,Voucher Isi Ulang Pulsa,2023-10-04,4,757944,Kartu Kredit
T167,1006,Modem MiFi 4G,2023-07-05,4,2000000,Transfer Bank
T168,1002,Smartphone Flagship,2023-10-29,1,5000000,Kartu Kredit
T169,1005,Paket Data Keluarga (4 Nomor),2023-06-01,3,450000,Dompet Digital
T170,1005,Kartu Perdana SimPATI,2024-01-23,2,20000,Tunai
T171,1004,Kartu Perdana AS,2024-02-17,5,75000,Dompet Digital
T172,1003,Modem MiFi 4G,2024-01-03,4,2000000,Tunai
T173,1007,Paket Internet Malam,2023-05-11,2,50000,Dompet Digital
T174,1004,Paket Bundling Smartphone + Paket Data,2024-02-02,5,7500000,Dompet Digital
T175,1009,Kartu Perdana AS,2024-02-17,4,60000,Tunai
T176,1007,Paket Data 2GB,2023-10-25,2,50000,Kartu Kredit
T177,1008,Paket Bundling Smartphone + Paket Data,2023-06-21,2,3000000,Transfer Bank
T178,1001,Paket Nelpon 300 Menit,2024-03-26,5,150000,Tunai
T179,1006,Kartu Perdana AS,2024-02-02,4,60000,Tunai
T180,1003,Paket Internet Unlimited + TV Kabel,2023-09-19,4,1200000,Dompet Digital
T181,1007,Paket Data 2GB,2023-10-03,2,50000,Tunai
T182,1003,Paket Roaming Asia,2024-02-05,1,100000,Tunai
T183,1008,Paket Nelpon 100 Menit,2024-02-07,5,100000,Kartu Kredit
T184,1005,Paket Streaming Video,2023-07-04,5,375000,Tunai
T185,1003,Modem Wifi Portable,2023-11-28,1,300000,Transfer Bank
T186,1005,Paket Roaming Eropa,2023-06-22,2,300000,Dompet Digital
T187,1008,Paket Nelpon 300 Menit,2023-08-15,4,120000,Dompet Digital
T188,1005,Voucher Isi Ulang Pulsa,2023-05-21,3,568458,Dompet Digital
T189,1006,Paket Data Keluarga (4 Nomor),2023-12-24,5,750000,Kartu Kredit
T190,1007,Paket Roaming Asia,2023-11-21,4,400000,Kartu Kredit
T191,1007,Paket Roaming Eropa,2023-12-12,2,300000,Kartu Kredit
T192,1007,Paket SMS Unlimited,2023-07-03,5,75000,Tunai
T193,1009,Paket Data Keluarga (4 Nomor),2023-09-30,4,600000,Dompet Digital
